prompt,enhanced_prompt
"a cat sitting on a windowsill","Ultra-detailed wide shot of a {prompt}, soft natural light filtering through the curtains, peaceful morning ambiance, realistic shadows."
"man sitting under a tree","Cinematic shot of a {prompt}, sunbeams piercing through the leaves, tranquil forest background, hyper-realistic textures."
"a robot walking in the city","Cyberpunk-themed frame of a {prompt}, glowing neon lights, rainy streets, reflections on wet pavement, high contrast lighting."
"a warrior in battle","Epic action scene of a {prompt}, dust and sparks flying, dramatic lighting, battlefield chaos in the background."
"child playing with balloons","Dreamy golden hour shot of a {prompt}, floating colorful balloons, joyful expression, vintage filter."
"a dog chasing butterflies","Slow-motion capture of a {prompt}, vibrant spring field, pastel tones, butterflies mid-flight, shallow depth of field."
"spaceship taking off","Dynamic cinematic shot of a {prompt}, intense engine glow, clouds of smoke, sci-fi background, dramatic angles."
"woman reading in a library","Moody interior shot of a {prompt}, dim warm lighting, old wooden shelves, ambient dust particles, nostalgic tone."
"mountain landscape at dawn","Wide panoramic shot of a {prompt}, orange-pink sunrise hues, misty atmosphere, layered silhouettes of peaks."
"a knight on a horse","Majestic 4K close-up of a {prompt}, medieval armor glinting in sunlight, detailed historical setting, painterly finish."
"fox in the snow","Elegant winter scene showing a {prompt}, gentle snowfall, frosty forest, glowing fur in backlight, photorealistic composition."
"a pianist on stage","Spotlight-focused view of a {prompt}, darkened audience, grand piano gleaming, cinematic atmosphere, soundwave-inspired glow."
"girl flying with umbrella","Surreal fantasy depiction of a {prompt}, cloudy skies, floating gracefully, dreamlike tones and magical realism."
"a chef preparing sushi","Sharp studio-lit image of a {prompt}, intricate rolls on display, professional kitchen background, vibrant food textures."
"old man walking through market","Documentary-style street shot of a {prompt}, bustling market stalls, vibrant colors, slice-of-life realism."
"a bird in flight","High-speed telephoto frame of a {prompt}, wings outstretched mid-glide, clear blue sky backdrop, crisp motion blur."
"samurai standing in rain","Dramatic still of a {prompt}, rain dripping from katana, intense expression, moody teal-orange palette."
"a painter in a studio","Artistic snapshot of a {prompt}, paint splashes on canvas, colorful chaos in the background, creative lighting."
"alien creature in a desert","Sci-fi close-up of a {prompt}, harsh sunlight, cracked dry earth, strange flora in background, eerie tone."
"ballerina mid-spin","Elegant motion-capture of a {prompt}, flowing dress in mid-twirl, soft spotlight and velvet curtains, poetic ambiance."
"pirate on a ship deck","Adventure-style depiction of a {prompt}, wind-blown sails, crashing waves, golden hour, high-detail realism."
"a clown in a dark circus","Spooky themed composition of a {prompt}, dim carnival lights, creepy shadows, vintage horror color grade."
"an owl perched on a branch","Quiet forest scene showing a {prompt}, glowing eyes, foggy twilight, cinematic wildlife framing."
"a dragon flying over mountains","Epic fantasy scene of a {prompt}, flame trails, rugged peaks below, ancient ruins, HDR contrast."
"a monk meditating","Serene shot of a {prompt}, surrounded by candles, incense smoke curling, temple interior, spiritual mood."
"robot painting on canvas","Futuristic concept of a {prompt}, oil strokes blending with AI logic, neon accents, creative paradox."
"a man running through rain","Slow-shutter frame of a {prompt}, rain streaks glowing in streetlight, emotional, cinematic framing."
"two friends laughing at sunset","Candid golden hour capture of a {prompt}, lens flare, warm hues, genuine emotion in close-up."
"a deer in the woods","Mystical wildlife image of a {prompt}, morning mist, soft light through the trees, natural serenity."
"a queen on her throne","Regal portrait of a {prompt}, detailed crown and attire, dark velvet background, high-contrast lighting."
"penguins on ice","Nature documentary-style wide shot of a {prompt}, icy terrain, overcast sky, crisp clarity and depth."
"a man on a bicycle","Urban dynamic view of a {prompt}, motion blur on wheels, sun flare between buildings, stylish realism."
"a frog on a lily pad","Macro lens capture of a {prompt}, dewdrops on leaves, shimmering reflections, peaceful natural framing."
"a wizard casting a spell","Mythical illustration of a {prompt}, glowing runes, swirling energy, dark enchanted background."
"a couple dancing in the rain","Romantic cinematic shot of a {prompt}, soaked clothes, soft bokeh city lights, dramatic emotion."
"an astronaut on mars","High-fidelity rendering of a {prompt}, red dusty terrain, distant rover, soft lens grain, wide-angle sci-fi."
"a camel in the desert","Sweeping desert vista of a {prompt}, heat haze on dunes, golden-orange lighting, nomadic solitude."
"a treehouse at night","Whimsical twilight scene of a {prompt}, glowing windows, fireflies, moonlight above dense forest canopy."
"a panda eating bamboo","Charming nature close-up of a {prompt}, gentle expression, lush green backdrop, soft lighting."
"a detective solving a mystery","Film noir-inspired portrait of a {prompt}, shadowy environment, vintage trench coat, intense vibe."
"a ship in a storm","Powerful maritime painting of a {prompt}, crashing waves, thunderclouds, high contrast brush strokes."
"a fox in an autumn forest","Color-rich fall scene of a {prompt}, orange leaves, morning fog, ambient light and woodland texture."
"a mermaid under the sea","Fantasy underwater composition of a {prompt}, sunlight shafts through waves, coral reef shimmer."
"an archer aiming an arrow","Frozen action moment of a {prompt}, tense posture, slow-motion particles, epic background."
"a squirrel on a branch","Cute wildlife shot of a {prompt}, high detail fur, forest bokeh, nut in paws, shallow focus."
"a biker on a cliff edge","Dramatic sunset silhouette of a {prompt}, mountain backdrop, wind-blown jacket, cinematic lens flare."
"a fairy in a forest","Magical woodland shot of a {prompt}, glowing wings, light sparkles, enchanted mushrooms in frame."
"a chef flipping a pancake","Energetic kitchen frame of a {prompt}, pancake mid-air, motion blur, stainless steel shine, studio lights."
"a magician on stage","Showtime spotlight scene of a {prompt}, mysterious fog, vintage costume, audience silhouettes."
"a traveler with a map","Adventurous wide-angle shot of a {prompt}, worn backpack, scenic trailhead, curious expression."
"a dragon sleeping","Gentle fantasy illustration of a {prompt}, curled around treasure, glowing ambient firelight, peaceful breath."
"a ninja in the moonlight","Stealth-themed nighttime frame of a {prompt}, silhouettes on rooftops, full moon backlight, silent tension."
